"x","y","mdegree","betweennesssT","betweennesss","closeness"
127.035321059067,166.348122013008,3,0,0,0.333333333333333
123.092181930985,166.948823674111,3,0,0,0.333333333333333
175.14262174833,169.479971114169,7,0,0,0.0140845070422535
175.338582516776,169.075659646181,7,0,0,0.0140845070422535
178.221639344314,169.247932479722,8,0.00124918863973155,204,0.0169491525423729
176.161168904776,171.637505428057,12,0.000125822805332438,20.547619047619,0.0151515151515152
177.24875237526,171.014286405008,11,7.3481684690091e-05,12,0.0149253731343284
176.096821485932,170.87894955214,11,7.3481684690091e-05,12,0.0149253731343284
176.359038991427,171.416232976986,12,0.000125822805332438,20.547619047619,0.0151515151515152
130.109490672153,148.975880157105,16,1.22469474483485e-05,2,0.0625
128.010289319747,149.811145660583,15,5.35803950865247e-06,0.875,0.0588235294117647
128.293047889925,148.702093371308,14,0,0,0.0555555555555556
129.655661679184,150.259092882869,16,1.22469474483485e-05,2,0.0625
129.113428081036,150.459265783488,16,1.22469474483485e-05,2,0.0625
128.451946646863,147.339071694229,14,0,0,0.0555555555555556
44.3676972738966,131.276515191495,6,0,0,0.00709219858156028
43.7858416486552,128.35158185758,6,0,0,0.00709219858156028
41.7781787392863,127.571467249726,6,0,0,0.00709219858156028
45.006327615934,127.718576606713,7,0.00113896611269641,186,0.00909090909090909
136.736604286735,135.151305456559,4,0,0,0.1
136.887185075383,132.52299397205,4,0,0,0.1
135.19120640936,134.760153169678,7,1.22469474483485e-05,2,0.142857142857143
135.218156812853,134.202669848526,7,1.22469474483485e-05,2,0.142857142857143
103.18164017938,106.779274518343,18,8.8709857948769e-05,14.4868520621817,0.0277777777777778
104.207925010643,103.937982833404,25,6.84045159575411e-05,11.1708678829622,0.0344827586206897
104.254236775355,104.600223178278,24,5.71921069305998e-05,9.33981421440854,0.0333333333333333
102.47490094949,105.272160235205,21,3.66230987799715e-05,5.98077176936203,0.0303030303030303
139.546983404631,60.9317079190308,1,0,0,1
142.472090074012,62.0312264596524,11,5.06644552178703e-06,0.827380952380952,0.04
108.984213586578,156.294075193969,14,2.16435636750873e-05,3.53452380952381,0.0454545454545455
110.943436735461,155.901345246233,8,0,0,0.0357142857142857
110.517931462919,157.607133411294,9,7.65434215521781e-07,0.125,0.037037037037037
110.05334026066,157.185932902024,10,2.40565039163988e-06,0.392857142857143,0.0384615384615385
109.28812176545,156.564038133094,11,5.06644552178703e-06,0.827380952380952,0.04
109.471965697097,156.413102862683,7,0.000529680477141073,86.5,0.00680272108843537
52.081209331662,106.09418472363,5,0.000768495952383868,125.5,0.00826446280991736
56.2875090326147,106.672753659658,4,0.000336791054829583,55,0.00819672131147541
56.4243120171874,107.056734433211,2,0,0,0.00819672131147541
186.856622228331,148.021892327912,4,6.12347372417425e-06,1,0.00833333333333333
188.958770362823,148.526553217429,8,0.000618470846141599,101,0.0105263157894737
188.20968968588,149.881609255468,10,0.000707416290126049,115.525324675325,0.0072463768115942
57.150034030165,61.2866939105748,12,5.04058573926764e-05,8.23157894736842,0.0192307692307692
172.717791523336,81.3748621151426,11,0,0,0.015625
169.985521184934,79.901073364573,7,0.00257185896415319,420,0.00699300699300699
56.3584808579304,39.8313783604242,6,0,0,0.00584795321637427
56.6513873268658,37.273538656073,6,0,0,0.00584795321637427
57.1653689494913,35.6215416962052,6,0,0,0.00584795321637427
53.5755694868409,38.0460843675218,3,0,0,0.0909090909090909
48.6363950518566,199.867843551346,11,4.26014396719698e-06,0.695707070707071,0.0208333333333333
34.1457686103999,113.941829295205,11,4.26014396719698e-06,0.695707070707071,0.0208333333333333
34.1705093347308,114.735909121814,10,1.70096492338174e-06,0.277777777777778,0.0204081632653061
34.2404419264101,114.978357244497,11,4.26014396719698e-06,0.695707070707071,0.0208333333333333
32.524152249221,114.296731711458,6,0,0,0.00485436893203883
43.9097056966493,52.7915457662629,7,0.000302091370392596,49.3333333333333,0.00591715976331361
44.5711754335629,54.1924217562291,7,0.000302091370392596,49.3333333333333,0.00591715976331361
44.0797227074227,54.5315989357667,6,0,0,0.00485436893203883
43.6607587311919,51.3905888651454,7,0.000909335848039876,148.5,0.00617283950617284
59.9973180634335,33.4208769087852,6,0,0,0.00584795321637427
61.9339688727584,35.7796167902106,7,0.000909335848039876,148.5,0.00617283950617284
61.7037249850505,32.7489486516863,7,3.06173686208712e-05,5,0.142857142857143
61.0327686555911,153.796544406979,6,6.12347372417425e-06,1,0.125
57.0774239593335,154.957917511038,12,0.000143829056881853,23.488147963148,0.025
27.2880321464487,113.337841333302,13,0.000305573692497627,49.9020174270174,0.0256410256410256
27.3649453370318,115.355089644324,11,4.26014396719698e-06,0.695707070707071,0.0208333333333333
26.7934985788399,111.759177425304,13,0.000449062386468238,73.3345820845821,0.0256410256410256
26.8050033886188,115.659410829312,1,0,0,1
0.209750633237505,190.085089222342,6,0,0,0.00709219858156028
43.6828007947802,127.758690697041,6,0,0,0.00709219858156028
40.4445670863863,129.235264895882,6,0,0,0.166666666666667
43.7178490320852,129.069789891682,6,0,0,0.166666666666667
162.412666175842,141.95423940069,6,0,0,0.166666666666667
165.354763151925,141.705304159488,20,7.59991117771279e-06,1.24111109478757,0.0277777777777778
166.249470429315,142.477072782775,24,2.24780786406234e-05,3.67080511048564,0.032258064516129
106.480898930282,95.9136997166615,24,2.24780786406234e-05,3.67080511048564,0.032258064516129
107.218941952433,98.1629607198209,20,7.59991117771279e-06,1.24111109478757,0.0277777777777778
103.785911527604,98.2213335044373,16,0.000782171710367858,127.733333333333,0.0161290322580645
104.28673959763,95.1921319713451,4,0,0,0.0114942528735632
183.161089912911,173.718265652232,4,0,0,0.0114942528735632
187.578133257659,173.84508510718,4,0,0,0.0114942528735632
187.609193945957,173.370204012095,12,5.04058573926764e-05,8.23157894736842,0.0192307692307692
187.898349448171,174.911141418986,12,5.04058573926764e-05,8.23157894736842,0.0192307692307692
188.299152462919,173.780011432681,11,0,0,0.015625
171.089902439011,83.9454884253987,11,0,0,0.015625
171.310378427337,83.8501526832585,11,0,0,0.015625
169.948152335001,82.7798132450189,11,0,0,0.015625
170.056205704605,85.8854110188892,11,0,0,0.015625
169.826342528252,83.2909408662942,1,0,0,1
169.933333570192,81.6121573769425,4,0,0,0.25
169.813166353118,82.067110755794,4,0,0,0.25
3.95804371428862,0.454097585021602,4,0,0,0.25
5.93471047961718,2.6886297393278,4,0,0,0.25
88.9538051588093,49.6340976297505,10,0.00175691474051608,286.914718614719,0.0072992700729927
90.812853984296,48.5058799566837,7,0.000213799362024167,34.9147186147186,0.00694444444444444
89.8313836024142,46.8031566562261,5,2.17529114201619e-05,3.55238095238095,0.00598802395209581
90.3385554721347,49.153797103349,3,0,0,0.0045045045045045
